TITLE="5runs_phase_avg_adim_subtracted_mean" 
Variables="x/c","y/c","z/c","u'/Udeb","v'/Udeb","w'/Udeb"
ZONE T="10", I=289, J=214, SOLUTIONTIME=0.200000
1.360328 -1.6506399999999999 0.7 0.0 -0.0 0.0
1.366996 -1.6506399999999999 0.7 0.0 -0.0 -0.0
1.373666 -1.6506399999999999 0.7 0.0 -0.0 0.0
1.380334 -1.6506399999999999 0.7 0.0 -0.0 -0.0
1.3870019999999998 -1.6506399999999999 0.7 0.0 -0.0 -0.0
1.3936700000000002 -1.6506399999999999 0.7 0.0 -0.0 -0.0
1.400338 -1.6506399999999999 0.7 0.0 -0.0 -0.0
1.407006 -1.6506399999999999 0.7 0.0 -0.0 -0.0
1.413674 -1.6506399999999999 0.7 0.0 -0.0 -0.0
1.420344 -1.6506399999999999 0.7 0.0 -0.0 -0.0
1.427012 -1.6506399999999999 0.7 0.0 -0.0 0.0
1.4336799999999998 -1.6506399999999999 0.7 0.0 -0.0 0.0
1.4403480000000002 -1.6506399999999999 0.7 0.0 -0.0 0.0
1.447016 -1.6506399999999999 0.7 0.0 -0.0 0.0
1.453684 -1.6506399999999999 0.7 0.0 -0.0 0.0
1.460352 -1.6506399999999999 0.7 0.0 -0.0 0.0
1.46702 -1.6506399999999999 0.7 0.0 -0.0 0.0
1.47369 -1.6506399999999999 0.7 0.0 -0.0 0.0
1.4803579999999998 -1.6506399999999999 0.7 0.0 -0.0 -0.0
1.4870260000000002 -1.6506399999999999 0.7 0.0 -0.0 0.0
1.493694 -1.6506399999999999 0.7 0.0 -0.0 -0.0
1.500362 -1.6506399999999999 0.7 0.0 -0.0 0.0
1.50703 -1.6506399999999999 0.7 0.0 -0.0 0.0
1.513698 -1.6506399999999999 0.7 0.0 -0.0 0.0
1.520368 -1.6506399999999999 0.7 0.0 -0.0 -0.0
1.5270359999999998 -1.6506399999999999 0.7 0.0 -0.0 0.0
1.5337040000000002 -1.6506399999999999 0.7 0.0 -0.0 0.0
1.540372 -1.6506399999999999 0.7 0.0 -0.0 0.0
1.54704 -1.6506399999999999 0.7 0.0 -0.0 0.0
1.553708 -1.6506399999999999 0.7 0.0 -0.0 0.0
